MAC,RSSI,Monotonic,UTC (ESP),UTC Now (SYS),UTC Now (NTP),Time sync,UTC NTP - UTC ESP
1d:a8:40:2d:17:f8,-83,207752,2026-04-02 20:44:09.910000,2026-04-02 20:44:09.616080,2026-04-02 20:44:09.888094,True,-21.906
49:1f:eb:cd:ba:d4,-64,207852,2026-04-02 20:44:10.011000,2026-04-02 20:44:09.716049,2026-04-02 20:44:09.988171,True,-22.83
bd:97:72:cf:03:d2,-77,207902,2026-04-02 20:44:10.060000,2026-04-02 20:44:09.767836,2026-04-02 20:44:10.039959,True,-20.041
7e:97:1b:0d:4b:7d,-64,207946,2026-04-02 20:44:10.104000,2026-04-02 20:44:09.814246,2026-04-02 20:44:10.086365,True,-17.635
06:18:45:30:4c:79,-74,207946,2026-04-02 20:44:10.104000,2026-04-02 20:44:09.814246,2026-04-02 20:44:10.087379,True,-16.621
47:b2:a5:ee:d8:e1,-78,208003,2026-04-02 20:44:10.161000,2026-04-02 20:44:09.866033,2026-04-02 20:44:10.138134,True,-22.866
1d:a8:40:2d:17:f8,-81,208353,2026-04-02 20:44:10.511000,2026-04-02 20:44:10.215886,2026-04-02 20:44:10.487961,True,-23.039
80:2b:17:12:45:6f,-57,208403,2026-04-02 20:44:10.561000,2026-04-02 20:44:10.265876,2026-04-02 20:44:10.538004,True,-22.996
7e:97:1b:0d:4b:7d,-64,208502,2026-04-02 20:44:10.660000,2026-04-02 20:44:10.365672,2026-04-02 20:44:10.638805,True,-21.195
ae:17:0c:e9:fa:ee,-50,208603,2026-04-02 20:44:10.761000,2026-04-02 20:44:10.465529,2026-04-02 20:44:10.738662,True,-22.338
06:18:45:30:4c:79,-76,208702,2026-04-02 20:44:10.860000,2026-04-02 20:44:10.565626,2026-04-02 20:44:10.838759,True,-21.241
89:a1:41:12:24:62,-87,208799,2026-04-02 20:44:10.957000,2026-04-02 20:44:10.662516,2026-04-02 20:44:10.934644,True,-22.356
49:1f:eb:cd:ba:d4,-78,208799,2026-04-02 20:44:10.957000,2026-04-02 20:44:10.717515,2026-04-02 20:44:10.990648,True,33.648
8b:03:a0:b4:9d:4b,-82,208934,2026-04-02 20:44:11.092000,2026-04-02 20:44:10.797234,2026-04-02 20:44:11.070367,True,-21.633
1c:63:9f:73:2d:e9,-84,208934,2026-04-02 20:44:11.092000,2026-04-02 20:44:10.853773,2026-04-02 20:44:11.126906,True,34.906
80:2b:17:12:45:6f,-60,208952,2026-04-02 20:44:11.110000,2026-04-02 20:44:10.854784,2026-04-02 20:44:11.127917,True,17.917
7e:97:1b:0d:4b:7d,-66,209053,2026-04-02 20:44:11.211000,2026-04-02 20:44:10.915566,2026-04-02 20:44:11.188699,True,-22.301
49:1f:eb:cd:ba:d4,-62,209303,2026-04-02 20:44:11.461000,2026-04-02 20:44:11.165566,2026-04-02 20:44:11.438699,True,-22.301
1d:a8:40:2d:17:f8,-83,209403,2026-04-02 20:44:11.561000,2026-04-02 20:44:11.265873,2026-04-02 20:44:11.538002,True,-22.999
80:2b:17:12:45:6f,-53,209503,2026-04-02 20:44:11.661000,2026-04-02 20:44:11.365463,2026-04-02 20:44:11.638597,True,-22.404
7e:97:1b:0d:4b:7d,-65,209603,2026-04-02 20:44:11.761000,2026-04-02 20:44:11.466372,2026-04-02 20:44:11.738493,True,-22.507
06:18:45:30:4c:79,-79,209652,2026-04-02 20:44:11.810000,2026-04-02 20:44:11.523671,2026-04-02 20:44:11.795856,True,-14.145
49:1f:eb:cd:ba:d4,-62,209753,2026-04-02 20:44:11.911000,2026-04-02 20:44:11.616009,2026-04-02 20:44:11.888134,True,-22.867
bd:97:72:cf:03:d2,-71,209903,2026-04-02 20:44:12.061000,2026-04-02 20:44:11.765523,2026-04-02 20:44:12.038656,True,-22.344
1d:a8:40:2d:17:f8,-82,210003,2026-04-02 20:44:12.161000,2026-04-02 20:44:11.865400,2026-04-02 20:44:12.138534,True,-22.467
80:2b:17:12:45:6f,-56,210053,2026-04-02 20:44:12.211000,2026-04-02 20:44:11.915518,2026-04-02 20:44:12.188652,True,-22.349
b2:df:f9:76:1f:e1,-90,210146,2026-04-02 20:44:12.304000,2026-04-02 20:44:12.009261,2026-04-02 20:44:12.282394,True,-21.606
7e:97:1b:0d:4b:7d,-62,210146,2026-04-02 20:44:12.304000,2026-04-02 20:44:12.051935,2026-04-02 20:44:12.325068,True,21.068
49:1f:eb:cd:ba:d4,-64,210253,2026-04-02 20:44:12.411000,2026-04-02 20:44:12.116185,2026-04-02 20:44:12.388279,True,-22.721
06:18:45:30:4c:79,-78,210403,2026-04-02 20:44:12.561000,2026-04-02 20:44:12.265864,2026-04-02 20:44:12.537992,True,-23.009
7e:97:1b:0d:4b:7d,-63,210436,2026-04-02 20:44:12.594000,2026-04-02 20:44:12.315470,2026-04-02 20:44:12.588603,True,-5.397
89:a1:41:12:24:62,-82,210436,2026-04-02 20:44:12.594000,2026-04-02 20:44:12.316480,2026-04-02 20:44:12.589613,True,-4.387
f3:eb:cf:34:5d:74,-65,210553,2026-04-02 20:44:12.711000,2026-04-02 20:44:12.415695,2026-04-02 20:44:12.688828,True,-22.172
80:2b:17:12:45:6f,-60,210589,2026-04-02 20:44:12.747000,2026-04-02 20:44:12.472922,2026-04-02 20:44:12.746056,True,-0.945
ae:17:0c:e9:fa:ee,-60,210589,2026-04-02 20:44:12.747000,2026-04-02 20:44:12.473937,2026-04-02 20:44:12.747070,True,0.07
1d:a8:40:2d:17:f8,-82,210602,2026-04-02 20:44:12.760000,2026-04-02 20:44:12.474943,2026-04-02 20:44:12.747070,True,-12.93
4b:0c:7b:38:49:e3,-64,210653,2026-04-02 20:44:12.811000,2026-04-02 20:44:12.521295,2026-04-02 20:44:12.793421,True,-17.579
7e:97:1b:0d:4b:7d,-64,210703,2026-04-02 20:44:12.861000,2026-04-02 20:44:12.567995,2026-04-02 20:44:12.840125,True,-20.876
06:18:45:30:4c:79,-78,210980,2026-04-02 20:44:13.138000,2026-04-02 20:44:12.842462,2026-04-02 20:44:13.115595,True,-22.405
7e:97:1b:0d:4b:7d,-64,210980,2026-04-02 20:44:13.138000,2026-04-02 20:44:12.893736,2026-04-02 20:44:13.166869,True,28.869
80:2b:17:12:45:6f,-51,211153,2026-04-02 20:44:13.311000,2026-04-02 20:44:13.015808,2026-04-02 20:44:13.288941,True,-22.059
3b:64:89:5f:b7:59,-84,211202,2026-04-02 20:44:13.361000,2026-04-02 20:44:13.068877,2026-04-02 20:44:13.341003,True,-19.997
06:18:45:30:4c:79,-77,211303,2026-04-02 20:44:13.461000,2026-04-02 20:44:13.165639,2026-04-02 20:44:13.438772,True,-22.228
06:18:45:30:4c:79,-78,211453,2026-04-02 20:44:13.611000,2026-04-02 20:44:13.316299,2026-04-02 20:44:13.588420,True,-22.58
7e:97:1b:0d:4b:7d,-63,211553,2026-04-02 20:44:13.711000,2026-04-02 20:44:13.416061,2026-04-02 20:44:13.688173,True,-22.827
1d:a8:40:2d:17:f8,-82,211653,2026-04-02 20:44:13.811000,2026-04-02 20:44:13.516221,2026-04-02 20:44:13.788342,True,-22.659
80:2b:17:12:45:6f,-55,211703,2026-04-02 20:44:13.861000,2026-04-02 20:44:13.565978,2026-04-02 20:44:13.838071,True,-22.929
06:18:45:30:4c:79,-81,211896,2026-04-02 20:44:14.054000,2026-04-02 20:44:13.759486,2026-04-02 20:44:14.032619,True,-21.381
bd:97:72:cf:03:d2,-70,211897,2026-04-02 20:44:14.055000,2026-04-02 20:44:13.813194,2026-04-02 20:44:14.085322,True,30.322
89:a1:41:12:24:62,-85,212086,2026-04-02 20:44:14.244000,2026-04-02 20:44:13.949752,2026-04-02 20:44:14.221800,True,-22.2
